"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.336880708E0,1.021625519E0,1.402433624E0,1.065005310E1
2.346828708E0,8.213420105E-1,1.453776855E0,1.025936554E1
2.356777708E0,5.625302124E-1,1.518292694E0,9.726174316E0
2.366726708E0,3.201841736E-1,1.566941528E0,9.117539978E0
2.376674708E0,1.356179810E-1,1.673968964E0,8.485554199E0
2.386623708E0,-7.020401001E-2,1.792672119E0,7.904013519E0
2.396572708E0,-4.098477173E-1,1.933379517E0,7.485783234E0
2.406520708E0,-8.696914673E-1,2.140997772E0,7.336992645E0
2.416469708E0,-1.301244049E0,2.361339569E0,7.513625336E0
2.426418708E0,-1.457219696E0,2.444716187E0,7.766898651E0
2.436367708E0,-1.382375336E0,2.425855408E0,7.940986633E0
2.446315708E0,-1.218915253E0,2.340532837E0,7.987839203E0
2.456264708E0,-9.880952454E-1,2.284100189E0,8.173004150E0
2.466213708E0,-7.276368713E-1,2.216740265E0,8.444838867E0
2.476161708E0,-4.550537109E-1,2.154619446E0,8.723409576E0
2.486110708E0,-2.902464294E-1,2.161954193E0,8.949140167E0
2.496059708E0,-1.279838562E-1,2.202669525E0,9.160949707E0
2.506007708E0,-1.514849854E-1,2.250420227E0,9.355694733E0
2.515956708E0,-2.595602417E-1,2.288740540E0,9.394763489E0
2.525905708E0,-4.067042542E-1,2.352507935E0,9.294022980E0
2.535853708E0,-5.354365540E-1,2.371518402E0,9.256002045E0
2.545802708E0,-5.658233643E-1,2.316432953E0,9.179810486E0
2.555751708E0,-5.695655823E-1,2.234852600E0,9.040450287E0
2.565699708E0,-5.158273315E-1,2.247127075E0,8.861123199E0
2.575648708E0,-4.315525818E-1,2.373763733E0,8.786877594E0
2.585597708E0,-3.638932800E-1,2.535427551E0,8.889564056E0
2.595545708E0,-2.844085693E-1,2.686313782E0,8.922345886E0
2.605494708E0,-2.534230042E-1,2.777623901E0,8.929381256E0
2.615443708E0,-2.457888794E-1,2.822231140E0,9.010811920E0
2.625392708E0,-1.868115234E-1,2.835104370E0,9.358089752E0
2.635340708E0,5.508544922E-2,2.808609467E0,9.935888214E0
2.645289708E0,3.683839417E-1,2.743045807E0,1.039663010E1
2.655238708E0,6.240522766E-1,2.660417633E0,1.055500076E1
2.665186708E0,7.482939148E-1,2.648891602E0,1.046174469E1
2.675135708E0,7.740403748E-1,2.660717010E0,1.018212616E1
2.685084708E0,7.791297913E-1,2.684517517E0,9.941426697E0
2.695032708E0,8.327183533E-1,2.664309540E0,9.978399811E0
2.704981708E0,8.247848511E-1,2.656675415E0,1.021730301E1
2.714930708E0,9.084608459E-1,2.774181061E0,1.047416885E1
2.724878708E0,1.098864899E0,2.863694916E0,1.053703812E1
2.734827708E0,1.355431366E0,2.744692383E0,1.057969940E1
2.744776708E0,1.640887756E0,2.499502258E0,1.085827011E1
2.754725708E0,1.747017059E0,2.342029724E0,1.125255020E1
2.764673333E0,1.661694489E0,2.224673767E0,1.173394913E1
2.774622333E0,1.564546509E0,1.984273682E0,1.228779739E1
2.784571333E0,1.508113861E0,1.810185699E0,1.287158340E1
2.794519333E0,1.481618958E0,1.714534607E0,1.328083237E1
2.804468333E0,1.421893158E0,1.582509155E0,1.323667419E1
2.814417333E0,1.286873932E0,1.398242340E0,1.274734177E1
2.824365333E0,1.045725403E0,1.243464203E0,1.213601303E1
2.834314333E0,7.732919312E-1,1.135538635E0,1.152243896E1
2.844263333E0,4.775070190E-1,1.004710693E0,1.094464050E1
2.854212333E0,2.239343262E-1,9.463320923E-1,1.028840515E1
2.864160333E0,-2.380050659E-2,9.252259827E-1,9.663454742E0
2.874109333E0,-3.101550293E-1,9.633966064E-1,9.133406982E0
2.884058333E0,-5.289999390E-1,1.065184937E0,8.724457397E0
2.894006333E0,-6.195616150E-1,1.228195953E0,8.423283691E0
2.903955333E0,-5.339396667E-1,1.484912109E0,8.247249756E0
2.913904333E0,-2.838098145E-1,1.774110718E0,8.195906525E0
2.923852333E0,8.412506104E-2,2.092348938E0,8.260422363E0
2.933801333E0,3.872447205E-1,2.401156769E0,8.250093842E0
2.943750333E0,5.525010681E-1,2.632425842E0,8.048463135E0
2.953699333E0,5.490582275E-1,2.743794250E0,7.742050323E0
2.963647333E0,4.511618042E-1,2.782114563E0,7.461383972E0
2.973596333E0,1.746867371E-1,2.759810944E0,7.286697235E0
2.983545333E0,-1.712438965E-1,2.672093353E0,7.193291473E0
2.993493333E0,-4.924758911E-1,2.572250977E0,7.148085480E0
3.003442333E0,-7.051835632E-1,2.525697784E0,7.160060577E0
3.013391333E0,-8.186476135E-1,2.458936615E0,7.114255829E0
3.023339333E0,-8.614585876E-1,2.387385406E0,7.015461273E0
3.033288333E0,-9.033714294E-1,2.358495483E0,6.846163330E0
3.043237333E0,-9.048683167E-1,2.379002838E0,6.661447449E0
3.053186333E0,-9.122030640E-1,2.459685059E0,6.569388885E0
3.063134333E0,-8.385562134E-1,2.614612885E0,6.793323212E0
3.073083333E0,-6.608757019E-1,2.840343475E0,7.342082062E0
3.083032333E0,-3.394940186E-1,3.019670563E0,8.035589905E0
3.092980333E0,3.592529297E-3,3.132984924E0,8.767567749E0
3.102929333E0,1.781295776E-1,3.198249207E0,9.299711151E0
3.112878333E0,2.505789185E-1,3.218157806E0,9.577383728E0
3.122827333E0,1.724414062E-1,3.244952087E0,9.794881439E0
3.132775333E0,-6.092330933E-2,3.304827576E0,9.943522339E0
3.142724333E0,-4.511618042E-1,3.328927460E0,9.944869537E0
3.152673333E0,-8.665480042E-1,3.271896057E0,9.876761169E0
3.162621333E0,-1.303040314E0,3.124602356E0,9.770332489E0
3.172570333E0,-1.672023010E0,2.927462311E0,9.670041046E0
3.182519333E0,-1.937870178E0,2.796185303E0,9.570048981E0
3.192468333E0,-2.122735748E0,2.766996002E0,9.414223022E0
3.202416333E0,-2.158211975E0,2.795885925E0,9.170829163E0
3.212365333E0,-2.077978821E0,2.954855347E0,8.951086121E0
3.222314333E0,-1.861379242E0,3.160827026E0,8.789422302E0
3.232262333E0,-1.607806549E0,3.333717499E0,8.731043701E0
3.242211333E0,-1.360071716E0,3.414699097E0,8.815019073E0
3.252160333E0,-1.077758789E0,3.434158630E0,9.206305389E0
3.262109333E0,-8.285270691E-1,3.369044037E0,9.821376343E0
3.272057333E0,-7.574249268E-1,3.210823059E0,1.034064651E1
3.282006333E0,-7.655081177E-1,3.051105194E0,1.063912582E1
3.291955333E0,-9.093589783E-1,2.820883942E0,1.075708054E1
3.301903333E0,-1.140029297E0,2.577340393E0,1.075333832E1
3.311852333E0,-1.443148956E0,2.402953033E0,1.055754547E1
3.321801333E0,-1.750609589E0,2.389331360E0,1.028705795E1
3.331750333E0,-2.020498352E0,2.481090546E0,1.003094055E1
3.341698333E0,-2.084565125E0,2.505789185E0,9.706415405E0
3.351647333E0,-2.007026367E0,2.392025757E0,9.290430450E0
3.361596333E0,-1.986519012E0,2.229613495E0,9.071136475E0
3.371545333E0,-2.079475708E0,2.062261505E0,9.450597382E0
3.381493333E0,-2.235900421E0,1.731299744E0,1.040381516E1
3.391442333E0,-2.347568207E0,1.335073700E0,1.172421936E1
3.401391333E0,-2.430495758E0,9.373507690E-1,1.301947586E1
3.411339333E0,-2.290836182E0,5.905220032E-1,1.375818970E1
3.421288333E0,-2.057022400E0,2.676434326E-1,1.378902557E1
3.431237333E0,-1.747615814E0,7.978408813E-2,1.302561310E1
3.441186333E0,-1.593885498E0,1.664538574E-1,1.165461411E1
3.451134333E0,-1.582509155E0,4.897814941E-1,1.010758118E1
3.461083333E0,-1.575773163E0,8.659492493E-1,8.797355804E0
3.471032333E0,-1.565594330E0,1.145867157E0,7.925718384E0
3.480981333E0,-1.488055573E0,1.384470978E0,7.584278412E0
3.490929333E0,-1.366807709E0,1.502725067E0,7.711064758E0
3.500878333E0,-1.180744629E0,1.415456543E0,8.158334656E0
3.510827333E0,-9.367520142E-1,1.235381012E0,8.765472107E0
3.520775333E0,-7.390132141E-1,1.108295288E0,9.373507690E0
3.530724333E0,-6.709048462E-1,1.071022797E0,9.735904083E0
3.540673333E0,-7.099736023E-1,1.098415833E0,9.739346924E0
3.550622333E0,-7.716453552E-1,1.252295837E0,9.473948822E0
3.560570333E0,-8.466394043E-1,1.434916077E0,9.093739471E0
3.570519333E0,-9.301657104E-1,1.653162231E0,8.740923157E0
3.580468333E0,-1.024619293E0,1.826651459E0,8.490044861E0
3.590417333E0,-1.129700775E0,1.999541931E0,8.308771820E0
3.600365333E0,-1.151854706E0,2.163301392E0,8.111182709E0
3.610314333E0,-1.132544861E0,2.300266571E0,7.911048889E0
3.620263333E0,-1.003363495E0,2.432441711E0,7.656578064E0
3.630212333E0,-8.704399109E-1,2.567610626E0,7.354506226E0
3.640160333E0,-7.631130981E-1,2.705623627E0,7.081473999E0
3.650109333E0,-7.038363647E-1,2.918780365E0,6.950646057E0
3.660058333E0,-5.836363220E-1,3.137475586E0,7.038663025E0
3.670007333E0,-4.516108704E-1,3.243455200E0,7.442523193E0
3.679955333E0,-3.670367432E-1,3.236419830E0,8.031398621E0
3.689904333E0,-3.278182983E-1,3.100352783E0,8.582103424E0
