east_cell,north_cell,east_m,north_m,b_total_uT,b_mean_uT,sample_count,session_count,b_q25_uT,b_q75_uT,b_iqr_uT
32,54,0.918204069,0.036327345,53.054020069,53.024135283,70,1,52.920784165,53.122523403,0.201739238
32,55,0.916027824,0.182785259,53.210577859,53.213226748,52,1,53.138667184,53.288974268,0.150307084
32,56,0.901662552,0.343243319,53.102843889,53.136368225,41,1,53.027829776,53.223589108,0.195759333
32,57,0.896824877,0.496908068,53.298110353,53.267813793,46,1,53.128521975,53.379696874,0.251174899
32,58,0.895445696,0.650107194,53.073970949,53.100887805,83,1,52.956886326,53.244589436,0.287703110
32,59,0.895612374,0.774797907,52.914847890,52.903840369,99,1,52.791578899,53.007867170,0.216288271
32,60,0.893153446,0.996215839,53.011470018,52.999944285,174,1,52.901613387,53.106680572,0.205067185
32,61,0.895996631,1.025766986,52.921335831,52.809831679,273,1,52.728151573,53.033048138,0.304896565
33,38,1.078150477,-2.316203310,53.342487682,53.374438246,19,1,53.316555699,53.464539211,0.147983512
33,39,1.064419715,-2.218851947,53.378274527,53.354370770,50,1,53.237646349,53.454937412,0.217291064
33,40,1.047383811,-2.063340548,53.230580163,53.239539613,54,1,53.180354819,53.344903909,0.164549090
33,41,1.037924689,-1.913354647,53.197352403,53.210258478,53,1,53.077797724,53.340822064,0.263024340
33,42,1.023936782,-1.757456628,53.339634622,53.342027203,55,1,53.275433076,53.412732009,0.137298933
33,43,1.008110565,-1.607472572,53.325598572,53.318868583,56,1,53.225140984,53.375806144,0.150665160
33,44,0.996361976,-1.452702928,53.381152990,53.387327486,61,1,53.312571272,53.459722594,0.147151322
33,45,0.989015681,-1.319805015,53.573389873,53.572992141,57,1,53.513838266,53.630484806,0.116646540
33,46,0.972425187,-1.165962084,53.514318155,53.508092058,42,1,53.413890235,53.599988930,0.186098694
33,47,0.958166530,-1.007846791,53.554658870,53.563631450,52,1,53.493864996,53.641042622,0.147177626
33,48,0.950248163,-0.850880167,53.316450760,53.304381904,64,1,53.183272328,53.402082360,0.218810031
33,49,0.948576344,-0.711879713,53.323126111,53.335670144,76,1,53.257600041,53.413066893,0.155466852
33,50,0.940656090,-0.530135627,53.206607441,53.197371737,106,1,53.130210783,53.280967463,0.150756680
33,51,0.935829765,-0.434619463,53.088640755,53.113921283,59,1,53.021745659,53.210532210,0.188786551
33,52,0.933640303,-0.285184861,53.252718115,53.217609471,25,1,53.105577994,53.295063356,0.189485362
34,29,1.224862896,-3.677100463,53.292687532,53.305848433,26,1,53.209719951,53.384965713,0.175245762
34,30,1.212725055,-3.565738950,53.336620667,53.353148341,41,1,53.290068026,53.428526101,0.138458074
34,31,1.192665237,-3.405383058,53.467453417,53.478819546,46,1,53.378650837,53.570807429,0.192156591
34,32,1.177420342,-3.253987475,53.370688506,53.367913946,50,1,53.267346602,53.447814038,0.180467436
34,33,1.161511518,-3.110008291,53.405818408,53.401868913,55,1,53.323771018,53.484110148,0.160339130
34,34,1.142760640,-2.968561909,53.561593346,53.551355602,46,1,53.479345288,53.642465591,0.163120303
34,35,1.126886612,-2.816026870,53.592864309,53.563162367,43,1,53.466855668,53.655158409,0.188302740
34,36,1.109392292,-2.669895791,53.435432048,53.451462826,53,1,53.367782548,53.524584136,0.156801588
34,37,1.093686626,-2.503636742,53.349364953,53.354401288,59,1,53.280875985,53.428853775,0.147977790
34,38,1.082506647,-2.373555774,53.373898147,53.388887356,45,1,53.263021874,53.504598555,0.241576681
34,60,1.198086811,0.988017086,50.514161654,50.544475149,8,1,50.491391904,50.544966414,0.053574510
35,22,1.371306431,-4.758425753,53.344639170,53.372953446,40,1,53.291612602,53.466247586,0.174634984
35,23,1.351852466,-4.615395582,53.347577230,53.339130153,43,1,53.242208574,53.450564140,0.208355565
35,24,1.329805078,-4.456616909,53.438580197,53.449972501,37,1,53.382206041,53.518063550,0.135857509
35,25,1.309110115,-4.310805408,53.207076699,53.225053951,37,1,53.137238559,53.284915552,0.147676993
35,26,1.289036730,-4.156259461,53.262255725,53.264414010,39,1,53.198060103,53.303751812,0.105691709
35,27,1.272262550,-4.011921317,53.167238222,53.173344876,38,1,53.095970645,53.247405375,0.151434729
35,28,1.251556044,-3.856361463,53.109441966,53.104503713,44,1,53.035850024,53.184838602,0.148988578
35,29,1.238656233,-3.751073345,53.162595064,53.184008348,20,1,53.043144968,53.282106130,0.238961162
35,46,1.377490235,-1.156733018,52.474311900,52.511419194,36,1,52.401682858,52.575508957,0.173826099
35,47,1.362948336,-1.003443460,52.403272872,52.397061510,35,1,52.288195340,52.503086126,0.214890786
35,48,1.357039338,-0.857137964,52.237320862,52.223409807,37,1,52.155375109,52.284404302,0.129029194
35,49,1.347409819,-0.704999810,52.179001138,52.195338672,42,1,52.097295234,52.300994845,0.203699611
35,50,1.341061905,-0.562677273,52.315404447,52.309329486,44,1,52.228744560,52.400963404,0.172218843
35,51,1.336810744,-0.412029805,52.290385133,52.330705434,46,1,52.235976842,52.448249436,0.212272593
