"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.611528833E0,1.294058990E0,3.661685486E0,9.881102142E0
1.621472833E0,1.298100586E0,3.642675018E0,9.658664703E0
1.631417833E0,1.397344208E0,3.645668793E0,9.439071350E0
1.641361833E0,1.494342499E0,3.680695953E0,9.300010529E0
1.651305833E0,1.538650360E0,3.663930817E0,9.250912628E0
1.661250833E0,1.507365417E0,3.615281982E0,9.291777649E0
1.671194833E0,1.381028137E0,3.559897156E0,9.400002594E0
1.681138833E0,1.225800934E0,3.507955170E0,9.529932404E0
1.691082833E0,9.934840393E-1,3.507955170E0,9.630672913E0
1.701027833E0,6.941065979E-1,3.525169373E0,9.789342957E0
1.710971833E0,4.079017639E-1,3.559298401E0,9.991871796E0
1.720915833E0,1.016386414E-1,3.618126068E0,1.017359390E1
1.730860833E0,-1.880090332E-1,3.670966187E0,1.027852570E1
1.740804833E0,-5.542973328E-1,3.700305176E0,1.030023056E1
1.750748833E0,-9.662406921E-1,3.750899963E0,1.035142410E1
1.760692833E0,-1.437460785E0,3.816313934E0,1.037746994E1
1.770637833E0,-1.904040527E0,3.849395142E0,1.028451324E1
1.780581833E0,-2.214794312E0,3.917952576E0,1.011042526E1
1.790525833E0,-2.332749023E0,4.055815887E0,9.879605255E0
1.800470833E0,-2.240391083E0,4.242028656E0,9.527986450E0
1.810414833E0,-1.977388000E0,4.475393372E0,9.053024139E0
1.820358833E0,-1.762584686E0,4.493356018E0,8.507708130E0
1.830303833E0,-1.584754486E0,4.329746246E0,7.975564728E0
1.840247833E0,-1.444346466E0,4.230951691E0,7.812853088E0
1.850191833E0,-1.516945496E0,4.092938690E0,7.858508148E0
1.860135833E0,-1.816622314E0,3.814817047E0,8.192763062E0
1.870080833E0,-2.231858826E0,3.315006409E0,8.855285339E0
1.880024833E0,-2.640808411E0,2.643502808E0,9.766889648E0
1.889968833E0,-2.957998810E0,1.930535431E0,1.085916824E1
1.899913833E0,-2.993774414E0,1.419498138E0,1.156450150E1
1.909857833E0,-3.289858704E0,7.084767151E-1,1.181373322E1
1.919801833E0,-3.363954620E0,1.691482544E-1,1.169996979E1
1.929745833E0,-2.870430908E0,1.264869690E-1,1.149863846E1
1.939690833E0,-1.907034302E0,3.788621521E-1,1.124371857E1
1.949634833E0,-1.052012329E0,6.099815369E-1,1.083192490E1
1.959578833E0,-4.719685364E-1,7.065307617E-1,1.007000931E1
1.969523833E0,3.817062378E-2,9.854008484E-1,9.107061768E0
1.979467833E0,5.538482666E-1,1.403631134E0,8.304580536E0
1.989411833E0,8.280780029E-1,1.644480286E0,7.691754913E0
1.999355833E0,9.689350891E-1,1.864522705E0,7.178023224E0
2.009300833E0,1.081650696E0,2.129471741E0,6.731950836E0
2.019244833E0,1.100810852E0,2.360890503E0,6.460714874E0
2.029188833E0,1.013392639E0,2.452649689E0,6.449787598E0
2.039133833E0,8.637039185E-1,2.482288055E0,6.594985657E0
2.049077833E0,7.622149658E-1,2.564167786E0,6.900350647E0
2.059021833E0,6.435118103E-1,2.697091370E0,7.238946533E0
2.068965833E0,4.785548401E-1,2.766846313E0,7.525600433E0
2.078910833E0,3.426374817E-1,2.869383087E0,7.774083710E0
2.088854833E0,3.486250305E-1,2.978655853E0,8.036038971E0
2.098798833E0,3.953279114E-1,3.068169708E0,8.120014343E0
2.108742833E0,3.767665100E-1,3.228935394E0,8.149353333E0
2.118687833E0,3.379971313E-1,3.428021393E0,8.186476135E0
2.128631833E0,2.332150269E-1,3.477867737E0,8.212222595E0
2.138575833E0,1.993853760E-1,3.530707855E0,8.286019135E0
2.148520833E0,2.312690735E-1,3.581602020E0,8.292455750E0
2.158464833E0,2.510279846E-1,3.576213226E0,8.375532990E0
2.168408833E0,2.492317200E-1,3.558400269E0,8.477620697E0
2.178352833E0,1.956431580E-1,3.525019684E0,8.577313385E0
2.188297833E0,1.571731567E-1,3.451073456E0,8.755742340E0
2.198241833E0,1.106199646E-1,3.425925751E0,8.913514252E0
2.208185833E0,3.412902832E-2,3.472628632E0,9.066496124E0
2.218130833E0,8.831634521E-3,3.535797272E0,9.178014221E0
2.228074833E0,6.601272583E-2,3.621419220E0,9.391620026E0
2.238018833E0,2.874023438E-2,3.659440155E0,9.572444000E0
2.247962833E0,1.052311707E-1,3.760180664E0,9.675130463E0
2.257907833E0,1.359173584E-1,3.897894287E0,9.729617157E0
2.267851833E0,1.131646729E-1,4.008963318E0,9.682914276E0
2.277795833E0,9.969268799E-2,4.108506317E0,9.585466919E0
2.287740833E0,1.252894592E-1,4.250560913E0,9.374256134E0
2.297684833E0,2.302212524E-1,4.424648895E0,9.145232391E0
2.307628833E0,4.309538269E-1,4.605323181E0,8.894054718E0
2.317572833E0,5.939648438E-1,4.722230072E0,8.665929108E0
2.327517833E0,5.848338318E-1,4.731810150E0,8.707093506E0
2.337461833E0,3.162922668E-1,4.582869873E0,9.167536011E0
2.347405833E0,-3.203338623E-2,4.355642395E0,9.907597046E0
2.357350833E0,-1.324745178E-1,4.233047333E0,1.073941727E1
2.367294833E0,-1.591191101E-1,4.224664764E0,1.174846893E1
2.377238833E0,-2.140548706E-1,4.132456512E0,1.275422745E1
2.387182833E0,-2.383044434E-1,4.040697327E0,1.359457993E1
2.397127833E0,-2.716850281E-1,3.925736389E0,1.421953033E1
2.407071833E0,-3.153941345E-1,3.797602844E0,1.454989334E1
2.417015833E0,-3.103047180E-1,3.729644165E0,1.440499466E1
2.426960833E0,-3.016227722E-1,3.447181549E0,1.389036484E1
2.436904833E0,-1.896556091E-1,3.180735626E0,1.312859894E1
2.446848833E0,-4.116439819E-2,2.855012970E0,1.226175156E1
2.456792833E0,-2.978805542E-2,2.415227509E0,1.163710052E1
2.466737833E0,1.218466187E-1,1.955982513E0,1.145328278E1
2.476681833E0,4.399351501E-1,1.650168457E0,1.152767807E1
2.486625833E0,6.430627441E-1,1.504671021E0,1.136766083E1
2.496570833E0,7.845185852E-1,1.509760437E0,1.082384171E1
2.506514833E0,9.372010803E-1,1.570983124E0,1.012030472E1
2.516458833E0,1.071022797E0,1.626517639E0,9.428293762E0
2.526402833E0,1.148860931E0,1.702559509E0,8.684939575E0
2.536347833E0,1.393601990E0,1.996997223E0,7.848479004E0
2.546291333E0,1.522633667E0,2.157463531E0,7.119944000E0
2.556235333E0,1.403481445E0,2.090103607E0,6.487209778E0
