"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.341833333E0,-6.019864604E-2,2.770940401E-2,-9.242713451E-3
3.351778333E0,8.973393589E-3,-1.588176936E-2,-1.140049193E-3
3.361722333E0,8.836755157E-2,-1.008102372E-1,3.983872477E-3
3.371666333E0,1.716345996E-1,-1.897070110E-1,-1.257267781E-2
3.381611333E0,2.362532765E-1,-2.346574515E-1,-4.104986042E-2
3.391555333E0,2.665231526E-1,-2.407579869E-1,-7.789546251E-2
3.401499333E0,2.496078014E-1,-2.131679058E-1,-1.194743291E-1
3.411443333E0,1.808667630E-1,-1.714249998E-1,-1.585136354E-1
3.421388333E0,7.074239105E-2,-1.232710481E-1,-1.805752665E-1
3.431332333E0,-5.612970889E-2,-8.658949286E-2,-2.023807615E-1
3.441276333E0,-1.670498401E-1,-9.698513895E-2,-2.438192815E-1
3.451221333E0,-2.358111441E-1,-1.462735683E-1,-2.701464593E-1
3.461165333E0,-2.454171628E-1,-2.424530983E-1,-3.024972081E-1
3.471109333E0,-2.151260227E-1,-3.468562663E-1,-3.477132320E-1
3.481053333E0,-1.497731209E-1,-3.812389970E-1,-3.851231933E-1
3.490998333E0,-8.263380080E-2,-3.077122867E-1,-3.914062977E-1
3.500942333E0,-4.569868371E-2,-2.258259505E-1,-3.639973104E-1
3.510886333E0,-1.862507313E-2,-1.512274593E-1,-2.995710373E-1
3.520830333E0,1.183936000E-2,-1.238123402E-1,-2.218863815E-1
3.530775333E0,1.639846712E-2,-9.911506623E-2,-1.646532416E-1
3.540719333E0,-1.547717396E-2,-5.914234743E-2,-1.515052170E-1
3.550664125E0,-5.337386951E-2,-4.592808336E-2,-1.684616655E-1
3.560609125E0,-7.435052842E-2,-9.637288004E-2,-1.813604236E-1
3.570553125E0,-4.289162904E-2,-1.916800439E-1,-1.765553355E-1
3.580497125E0,5.905604362E-2,-2.769555151E-1,-1.632086337E-1
3.590441125E0,2.123845071E-1,-3.035903871E-1,-1.755588502E-1
3.600386125E0,3.863839805E-1,-2.643820047E-1,-2.127032876E-1
3.610330125E0,5.459040999E-1,-1.834678054E-1,-2.551752329E-1
3.620274125E0,6.573451757E-1,-5.241312087E-2,-2.921907604E-1
3.630219125E0,7.036471963E-1,9.570098668E-2,-3.222878873E-1
3.640163125E0,6.635261774E-1,2.250997275E-1,-3.369193077E-1
3.650107125E0,5.434487462E-1,3.090165555E-1,-3.526457846E-1
3.660051125E0,3.603225946E-1,3.389105499E-1,-3.671869040E-1
3.669996125E0,1.386823207E-1,3.085508049E-1,-3.838315606E-1
3.679940125E0,-6.929404289E-2,2.445894033E-1,-3.994483352E-1
3.689884125E0,-2.128555328E-1,1.642597020E-1,-4.285348356E-1
3.699829125E0,-2.580075562E-1,1.148530096E-1,-4.923068881E-1
3.709773125E0,-2.427007705E-1,8.834257722E-2,-5.706336498E-1
3.719717125E0,-2.127205133E-1,4.799861088E-2,-6.517146826E-1
3.729661125E0,-1.881789416E-1,-1.093421131E-2,-7.339216471E-1
3.739606125E0,-1.626240462E-1,-1.097787619E-1,-8.322317600E-1
3.749550125E0,-1.408340633E-1,-2.172841877E-1,-9.265947342E-1
3.759494125E0,-1.236888915E-1,-3.005841374E-1,-9.988108873E-1
3.769438125E0,-1.054047346E-1,-3.060648143E-1,-1.065332770E0
3.779383125E0,-8.160538971E-2,-2.253081501E-1,-1.141424298E0
3.789327125E0,-6.358055025E-2,-1.001261398E-1,-1.220221758E0
