"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.904009500E0,2.071916461E-1,2.232214063E-1,1.970078945E-1
2.913958500E0,2.252310961E-1,1.824209839E-1,2.514999211E-1
2.923907500E0,2.221058160E-1,1.202923581E-1,2.995753288E-1
2.933857500E0,1.873880476E-1,3.838045150E-2,3.304570913E-1
2.943806500E0,1.149180904E-1,-5.272796005E-2,3.510105610E-1
2.953755500E0,4.325083271E-2,-1.185336038E-1,3.569369018E-1
2.963704500E0,-1.849435642E-2,-1.579755545E-1,3.353760242E-1
2.973654500E0,-6.126525626E-2,-1.804033667E-1,2.882404923E-1
2.983603500E0,-7.337401807E-2,-1.290317625E-1,2.315805554E-1
2.993552500E0,-6.926955283E-2,-1.036775764E-3,1.568751633E-1
3.003501500E0,-6.452469528E-2,1.795647293E-1,8.540772647E-2
3.013450500E0,-4.631213099E-2,3.705056608E-1,6.235539913E-2
3.023400500E0,-1.426980365E-2,5.294064283E-1,1.040349677E-1
3.033349500E0,1.736615412E-2,6.036220789E-1,1.954492927E-1
3.043298500E0,2.342202887E-2,5.627021790E-1,2.966258824E-1
3.053247500E0,-1.004218473E-3,4.196957350E-1,3.926432133E-1
3.063197500E0,-2.963203192E-2,2.111617178E-1,4.744679332E-1
3.073146500E0,-4.553402960E-2,1.109958626E-3,5.154111385E-1
3.083095500E0,-3.719070181E-2,-1.446146369E-1,5.046344399E-1
3.093044500E0,-1.616930589E-2,-1.972285807E-1,4.437159598E-1
3.102994500E0,2.124615759E-2,-1.919737905E-1,3.523251414E-1
3.112943500E0,4.886553064E-2,-1.681683213E-1,2.515061200E-1
3.122892500E0,5.409020558E-2,-1.754777431E-1,1.668087393E-1
3.132841500E0,2.490356192E-2,-2.375600189E-1,1.074040011E-1
3.142790500E0,-2.178760618E-2,-3.180385828E-1,7.235876471E-2
3.152740500E0,-7.025234401E-2,-3.388051093E-1,6.645266712E-2
3.162689500E0,-1.163679659E-1,-2.966940105E-1,7.871019840E-2
3.172638500E0,-1.585300714E-1,-2.158937007E-1,9.512432665E-2
3.182587500E0,-1.888203472E-1,-1.030241698E-1,1.089807674E-1
3.192537500E0,-2.069586068E-1,2.637281548E-3,9.679973871E-2
3.202486500E0,-2.138720602E-1,1.003951728E-1,5.758911371E-2
3.212435500E0,-2.077800781E-1,1.607852727E-1,4.346399568E-3
3.222384500E0,-1.924520880E-1,1.711595953E-1,-5.189999938E-2
3.232334500E0,-1.414799839E-1,1.251636147E-1,-9.853301197E-2
3.242283500E0,-6.436247379E-2,8.722603321E-2,-1.201132312E-1
3.252232500E0,3.032328933E-2,5.165526271E-2,-1.147925034E-1
3.262181500E0,1.130080596E-1,2.933910675E-2,-9.211275727E-2
3.272130500E0,1.746144295E-1,1.114838570E-2,-5.293686315E-2
3.282080500E0,2.075872868E-1,-6.386328489E-3,-1.441717055E-2
3.292029500E0,2.221390754E-1,-6.034258753E-3,1.373324171E-2
3.301978500E0,2.067668587E-1,1.790185459E-2,2.196924388E-2
3.311927500E0,1.670346260E-1,3.625662625E-2,1.283913013E-2
3.321877500E0,9.838444740E-2,3.692573681E-2,-5.682084244E-3
3.331826500E0,2.189287171E-2,1.216366515E-2,-3.126813844E-2
3.341775500E0,-5.441589653E-2,-2.371659689E-2,-5.527609587E-2
3.351724500E0,-1.038870439E-1,-6.014704704E-2,-7.165880501E-2
3.361674500E0,-1.186589897E-1,-8.871049434E-2,-9.317083657E-2
3.371623500E0,-8.909203857E-2,-1.221717894E-1,-1.044911370E-1
3.381572500E0,-8.152713999E-3,-1.208462641E-1,-1.185108125E-1
3.391521500E0,1.022275910E-1,-8.039391041E-2,-1.239985228E-1
3.401471500E0,2.026271522E-1,-5.187532306E-2,-1.287195086E-1
3.411420500E0,2.875031531E-1,-8.117195219E-2,-1.227532253E-1
3.421369500E0,3.608557582E-1,-1.941210628E-1,-1.195426062E-1
3.431318500E0,4.214567840E-1,-3.835972548E-1,-1.209839061E-1
3.441267500E0,4.913602769E-1,-5.408826470E-1,-1.155595928E-1
3.451217500E0,5.544758439E-1,-6.076712608E-1,-9.978116304E-2
3.461166500E0,5.972762108E-1,-5.698800683E-1,-7.998152822E-2
3.471115500E0,5.989928842E-1,-4.090608656E-1,-6.035803258E-2
3.481064500E0,5.669067502E-1,-1.701220125E-1,-4.682828113E-2
3.491014500E0,4.969737530E-1,4.431518167E-2,-4.648580030E-2
3.500963500E0,4.149495661E-1,1.672477275E-1,-5.057810619E-2
3.510912500E0,3.599755168E-1,2.138229460E-1,-4.748803750E-2
3.520861500E0,3.376781046E-1,2.040091157E-1,-2.473949082E-2
3.530811500E0,3.265138865E-1,1.258557290E-1,-5.874189548E-3
3.540760500E0,3.200739920E-1,4.532763362E-2,1.078450214E-2
3.550709500E0,3.067778945E-1,-4.489991348E-3,6.301070563E-3
3.560658500E0,2.578198314E-1,-4.313369095E-2,-3.309871256E-2
3.570608500E0,1.630075723E-1,-9.285171330E-2,-1.112102941E-1
3.580557500E0,2.457551472E-2,-1.593464762E-1,-2.076727301E-1
3.590506500E0,-1.535524130E-1,-1.870822310E-1,-2.802520990E-1
3.600455500E0,-3.320776224E-1,-1.359561831E-1,-3.174065351E-1
3.610405500E0,-4.882339239E-1,-1.192798838E-2,-3.244172931E-1
3.620354500E0,-5.941515565E-1,1.580452174E-1,-3.007780015E-1
3.630303500E0,-6.336004138E-1,3.482814729E-1,-2.514607608E-1
3.640252500E0,-6.111748815E-1,4.853475988E-1,-1.899117529E-1
3.650202500E0,-5.385299921E-1,5.245038271E-1,-1.407391429E-1
3.660151500E0,-4.467280209E-1,4.550541043E-1,-1.033056676E-1
3.670100500E0,-3.619047403E-1,2.857897282E-1,-7.275095582E-2
3.680049500E0,-2.923956215E-1,7.209330797E-2,-4.854477942E-2
3.689999500E0,-2.419180572E-1,-1.165149510E-1,-3.950201347E-2
3.699948500E0,-2.162759006E-1,-2.395795882E-1,-5.944341049E-2
3.709897500E0,-1.997914612E-1,-2.541169822E-1,-7.981473207E-2
3.719846500E0,-1.784056574E-1,-1.751635373E-1,-9.294978529E-2
3.729796500E0,-1.561325788E-1,-4.520981014E-2,-8.632996678E-2
3.739745500E0,-1.336414665E-1,8.919430524E-2,-6.227301806E-2
